time,classification,threat,confidence,alertLevel,path,durationSec,avgMoveTime,nodeCount,pirCount,vibCount,minDistance
00:02:55,HUMAN,HIGH,52,3,SOUTH -> EAST -> SOUTH,3.81,1.91,2,4,0,2.33
00:00:11,HUMAN,LOW,49,1,SOUTH -> WEST,6.6,6.6,2,4,0,8.76
00:02:26,ANIMAL,MEDIUM,44,1,SOUTH,0.0,0.0,1,7,0,21.56
00:02:40,HUMAN,HIGH,42,3,SOUTH -> NORTH -> EAST,0.0,0.0,3,6,0,16.24
00:06:04,HUMAN,HIGH,50,3,SOUTH -> WEST -> SOUTH,5.29,2.64,3,5,0,21.56
00:06:17,VEHICLE,HIGH,48,3,WEST -> SOUTH,1.24,1.24,3,3,4,20.59
00:06:46,HUMAN,HIGH,45,3,WEST -> SOUTH -> WEST -> SOUTH,18.58,6.19,3,8,3,14.17
00:08:37,HUMAN,HIGH,44,3,SOUTH,0.0,0.0,2,4,0,20.73
00:08:53,HUMAN,HIGH,44,3,SOUTH,0.0,0.0,2,4,0,20.73
00:09:19,HUMAN,HIGH,47,3,SOUTH -> WEST -> SOUTH,9.93,4.96,3,6,0,20.73
00:09:36,HUMAN,HIGH,44,3,SOUTH,0.0,0.0,2,4,0,21.06
00:09:48,HUMAN,HIGH,44,3,SOUTH,0.0,0.0,2,4,0,22.04
00:10:03,HUMAN,HIGH,44,3,SOUTH,0.0,0.0,2,4,0,22.05
00:00:08,HUMAN,HIGH,54,2,SOUTH -> WEST,3.38,3.38,2,3,1,16.41
00:00:43,HUMAN,LOW,55,1,SOUTH,0.0,0.0,1,2,2,23.41
00:02:05,HUMAN,HIGH,50,3,SOUTH -> WEST -> SOUTH,5.33,2.67,2,7,0,4.24
00:05:01,HUMAN,HIGH,57,3,SOUTH -> WEST -> SOUTH,6.33,3.16,2,8,3,3.29
00:00:33,HUMAN,HIGH,54,3,SOUTH,0.0,0.0,2,3,3,4.56
00:01:41,HUMAN,HIGH,51,3,SOUTH -> WEST -> SOUTH,12.1,6.05,2,9,7,3.28
00:02:21,ANIMAL,MEDIUM,51,1,SOUTH,0.0,0.0,1,2,0,32.91
00:02:34,ANIMAL,MEDIUM,51,1,SOUTH,0.0,0.0,1,2,0,16.22
00:03:47,ANIMAL,MEDIUM,40,3,SOUTH,0.0,0.0,1,3,0,11.82
00:04:00,ANIMAL,MEDIUM,43,1,SOUTH,0.0,0.0,1,3,0,9.79
00:00:12,ANIMAL,MEDIUM,51,1,SOUTH,0.0,0.0,1,2,0,35.04
00:02:12,ANIMAL,MEDIUM,45,1,WEST,0.0,0.0,1,2,0,6.81
00:02:59,VEHICLE,HIGH,45,3,SOUTH -> WEST,1.29,1.29,2,3,4,20.79
00:04:01,HUMAN,HIGH,49,3,SOUTH -> NORTH -> WEST -> NORTH,6.46,2.15,3,5,4,28.62
00:04:19,ANIMAL,MEDIUM,51,1,SOUTH,0.0,0.0,1,2,0,33.2
00:04:39,VEHICLE,HIGH,48,3,SOUTH -> WEST -> NORTH,1.06,0.53,3,3,3,18.18
00:04:54,VEHICLE,HIGH,48,3,SOUTH -> WEST -> NORTH,0.85,0.42,3,3,3,33.48
00:05:14,VEHICLE,HIGH,44,3,SOUTH -> WEST -> NORTH,2.74,1.37,3,4,3,33.46
00:07:44,ANIMAL,MEDIUM,51,1,WEST,0.0,0.0,1,2,0,17.18
00:07:56,ANIMAL,MEDIUM,45,1,WEST,0.0,0.0,1,2,0,10.12
00:00:19,HUMAN,HIGH,45,3,NORTH -> SOUTH -> WEST,10.28,5.14,3,4,1,10.14
00:01:01,HUMAN,HIGH,46,3,SOUTH -> WEST -> NORTH -> SOUTH,17.09,5.7,3,7,0,9.45
00:00:09,HUMAN,HIGH,53,3,WEST -> SOUTH -> WEST,6.39,3.2,2,4,0,9.11
00:00:21,ANIMAL,MEDIUM,49,1,WEST,0.0,0.0,1,3,0,16.55
